帮同事买的手机，我试过了，挺不错的，他本人也喜欢，拍照功能好强大,相机功能多/强
手机外观漂亮，颜色也挺好。照相功能强大，声音也好好。,相机功能多/强
非常漂亮的手机，一直用vivo手机，品质有保障。这款手机拍照功能非常强大，大爱?,相机功能多/强
手机速度很快，已经用了一段时间了，拿到的第一反应是外观还挺好看，拍照功能强大，总体还不错，符合我的需求，希望这一部手机能用得久一点+_+,相机功能多/强
挺满意的手机，尤其照相功能真的很好很方便，内存也够大了，喜欢,相机功能多/强
手机非常漂亮。照相功能强大。非常喜欢,相机功能多/强
物流快，手机超喜欢，照相功能很好，大爱爱?,相机功能多/强
高大上，支持国货！手机薄而轻便，手感好，摄像功能强大，清晰！前面三张是室友手机拍得，自拍是用vivo，差别很大吧?,相机功能多/强
手机表现的淋漓尽致，美颜拍照棒呆了，老婆特别喜欢，还送了不少东西，拉杆箱和登山包最喜欢和适用，刚好过年回去想买一个，质量很好,美颜效果好
手机到了，使用了两天试机后来评论。刚好在户外就拍了几张照片，手机玩游戏会偶尔卡顿，我不是游戏发烧友问题不大。照片放大后会比较模糊，手机听歌声音较大还是不错的哦？?电池使用还是比较满意的，不是重度使用完全可以维持一天不用担心。,拍照模糊/不清晰
手机的拍照功能真么很强大，玩游戏也不卡机。外形很喜欢，还有手机的操作方便用起来很顺手。值得拥有。,相机功能多/强
手机的自拍功能很强大，柔光自拍照亮你的美～信价比很高哦！好评,相机功能多/强
手机蛮好用的，自拍功能比较强大，双摄像虚化棒棒的，拍景也是棒棒哒,相机功能多/强
手机美颜真不错，非常完美粉色很好看，手机反应挺快的，送的东西挺实惠，快递给力,美颜效果好
手机拿到手不容易啊，辗转几天，是正品，用了一天感觉确实不错，速度666，拍照功能确实强悍，不过送的几件东西跟介绍的有出入，也可以，用几天再来追评，等我哦！,相机功能多/强
手机拍照效果很不好，前置摄像头拍出的照片有模糊叠影，手机出现过几次死机现象！很失望的购物体验！,拍照模糊/不清晰
手机屏幕没有5.5，小很多，照相也不清晰，电磁也不是很耐用！懒得退了，但是改天有空我也要去手机店看看是不是原装的,拍照模糊/不清晰
手机三天就收到，样子很漂亮，功能也不错，拍照的确很清晰，自带的美颜功能也很好，老公也说不错 送的赠品也不错,美颜效果好
手机上网速度流畅，外观设计简洁大方，手机拍照功能强大赠品很多实用！,相机功能多/强
手机使用了，拍照确实挺好的，功能强大，物流业很快，送的蓝牙音响挺好的，音质不错。,相机功能多/强
手机受到了有一段时间了 这段时间试了试 用了用 我所需要的功能全部都用的很顺手 电池也挺不错的 最主要照相功能很强大,相机功能多/强
手机太烂了，跟实体店买的比差的不能再差。照相模模糊糊的。没有实体店的好，上当了配送过来的东西一样都不实用。跟他说，他还说是我们自己没有挑好，除了照相效果差，其他功能好不好用，还等以后用了再来补。我写这些希望后面的人不要再上当受骗了，还是自己到实体店去买的好。耳机发过来就有一边不会响。?????,拍照模糊/不清晰
手机外形美观别致，拍照功能很强大，无论景色还是人物，都能拍出你要的效果。,相机功能多/强
手机系统做的一般般，有点厚。自拍美颜不错。,美颜效果好
手机像素功能很强大，很适合爱拍照的人…帮朋友买的，她非常喜欢…,相机功能多/强
手机像素功能很强大，照出来的相片很清晰。手机音乐也很好。手感挺适中。值得拥有！,相机功能多/强
手机信号比较差，经常接不到电话打不通。拍照功能非常好,相机功能多/强
手机一到就迫不及待的打开看了 真的很不错 手感不错 相机功能也不错 照片很清晰 像素很好 玩游戏也不发烫 充电很快 电很抗用 不错 好评 重点是客服人也很好哦?,相机功能多/强
手机已经到两天了，很好用，没有瑕疵，真品。运行很快，拍照功能强大，很满意的一次购物，&apos;送的礼品也齐了，大爱，,相机功能多/强
手机已经用上了！性能不错，拍照功能很强大。,相机功能多/强
手机已经用上了，做V粉很久了，外观精致，相片美颜棒棒哒，各方面都挺好的，唯一难以理解的，打开网页速度和5比，竟然快不了多少，某些时候甚至更慢些，6g运存就是这样吗？希望这个品牌越做越好吧。,美颜效果好
手机音质效果很棒 拍出来的效果很赞 功能很强大 好像没有OPPO的快 但是这个速度可以了 玩了几天感觉很好 没有卡顿 刚插上卡的时候好像信号不是满的 过了一天之后就没问题了 店家做事很效率 小礼品也很多很实惠 希望店家生意越来越好！,相机功能多/强
手机用了十几天了，总得来说还是不错的，开始以为屏幕不灵敏，后来换了钢化膜，就好了，卖家服务不错，赠品也很多，刚买这个就出了X9P，手机出得太快了，都跟不上节奏哦，还有一点就是录像有点模糊，对焦不好，拍照什么的都喜欢，顺丰发货，隔天就收到了，圣诞节收到的，好惊喜的说！！,摄像模糊
发货很快，第二天就收到了。手机用了一天，从20%开始充满电大概需要一个半小时，自拍功能很强大?像素很清晰。总体使用感觉很棒，对我个人而言，有一点不是很喜欢，就是隐私与应用程序加密那里没有文件管理这个选项。其它都挺棒?。,相机功能多/强
手机用下来不错，拍照功能还是很强大的，赠品也都寄送到了，给力,相机功能多/强
手机用着很舒服，拍照功能太强大了，充电很快。总体来说物价所值，喜欢的亲们快点下手吧?,相机功能多/强
手机早就收到了，用了几个才来评价，手机很好用，指纹解锁特别灵敏，而且像素没的说，超清晰，美颜也棒棒哒??,美颜效果好
很不错，手机照相功能很强大，使用起来很方便。很赞,相机功能多/强
手机照相功能强大！总体感觉都不错！下面三张是虚幻背景相片，漂亮吧?哈哈哈哈哈哈~~~全五星吧！?,相机功能多/强
手机照相功能不错，性能好，外挂有点像苹果手机。,相机功能多/强
手机真的很不错，像素清晰，，美颜质感高，手机样子好看，电池也耐用，物流是很快，客服服务态度很好，是正品，卖家还送了一些礼物，值得大家拥有,美颜效果好
首先，快递超级快，第一天晚上下单，第二天上午就收到了，收到以后很惊喜，无论是手机还是赠品，包装都很不错，手机用了一天，感觉还不错，性价比很高，照相功能很赞,相机功能多/强
首先物流很快，下单第二天就拿到了。到手后就开始积极的适应新机，以前没用过国产智能机，这款机子性能很不错的，对得起这价格，而且钢化膜贴好了的，送的保护壳及赠品也不错。跟广告宣传一样确实是自拍神器，喜欢自拍的妹子可以入手哦！拍照功能强大，让平时不爱自拍的我也叹服（一会送上两张照片供参考）。用了两天还不是完全适应，以后再追评。,相机功能多/强
首先手机拍照功能很强大，自拍时可以背景自动虚化，拍出来效果很赞，手机反应也很迅速，外观设计很好，而且播放音乐的音质确实很棒，赠送的蓝牙音响很可爱，充电宝体积小，容量大，我跟喜欢。最后里面自带的软件不繁琐，个人很喜欢。快递小哥大年三十也没放假，第二天就送到家了。点赞。支持国产！,相机功能多/强
双摄功能特傢单反拍出的十效果，很适合我用，后摄像夜间拍不够清哳，但在国产手机中也是佼佼者。,夜拍拍摄效果差
双摄虚化功能很强大。像素超清晰，喜欢。过年干嘛的都可以拍美美哒照片发朋友圈了,相机功能多/强
顺丰快递真的是太快了，前一天下午6点钟下的单，第二天早上9点钟就拿到货了，感觉挺好的！打开包装以后感觉大吃一惊，手机外观很精致！拿起来手感也很好！运行流畅，拍照功能很强！这部手机真的买的很值！,相机功能多/强
顺丰就是X，速度超快，玩了两天，就目前来看还不错，拍照功能简直就是秒杀呀，电量也还可以，不过智能机后期都会出现电量不足，外观，触屏很合我意，钱多钱少还是有区别的,相机功能多/强
顺丰就是快，广东到北京就两天，真的超级快的。手机主打的摄影功能很赞，内存也够大，充电速度飞快，总得来说还算不错，就是感觉续航能力还是不够好，希望系统能够多优化优化。,相机功能多/强
反应挺快的，是正品，送的赠品也挺多挺实用哦，物流也很快，一天就到了，美颜效果挺好的，就是本人有点丑,美颜效果好
送给妈妈的礼物，拿回来自己试用了一下，发现这个十级美颜真的好好玩！不用下载美颜相机，不用自己修图，就能拍得自己美美哒?(????)??vivo X9，照亮你的美！,美颜效果好
送了好多东西，我在25号预定的，30号10点买到了，今天晚上收到的，非常喜欢，特别是自拍的功能强大,相机功能多/强
给弟弟买的，他挺喜欢，指纹触摸解锁很方便。音质上不管外放还是耳机hifi都没什么可挑剔的，拍照在白天效果很好，噪点多了一些，夜景只能说一般吧，对得起这个价位。,夜拍拍摄效果差
手机已经收到，快递很给力，太满意了，超级喜欢，颜色非常好看，还有赠品，绝对正品，拍照功能超强，支持vivo，支持国产，物美价廉，五星好评没毛病，木木客服也很好。祝vivoX9大卖！好评没毛病！,相机功能多/强
特别好，柔光自拍功能真强大，灰色很好看！,相机功能多/强
特地用了几天才来确认收货！望店家谅解，首先音质很好，拍照白天还不错，晚上和抓拍需要很大的改进了！指纹解锁也很快，续航力很一般，充电很快4000毫安充一小时十五分钟耗电也很快，用一天没问题，价格偏贵了一点，整体还不错。,夜拍拍摄效果差
特地用了几天才来评价，感觉速度非常快，拍照功能很强大，玩游戏也不卡顿。非常好的手机值得这个价！,相机功能多/强
特地用了10天再来评价，感觉很不错，速度各方面都很好，照相功能很强大?！入手的赶紧,相机功能多/强
特意用了几天才评论，感觉还不错！，像素挺高的，拍照功能非常强大,相机功能多/强
这款手机特意用了一段时间再来评论，就外观来说颜值高，自拍功能强大，后置像素也不错，日常使用没问题，说说这款手机的侧重点，音质好，拍照好，内存大，双卡双待，充电很快，从30%充到90%用了一个小时，如果不是玩大型游戏很多的足够日常使用了，玩王者荣耀不卡。送的蓝牙音响和收纳包都很实用，最后祝VIVO手机越做越好，支持国产！,相机功能多/强
特意用了几天才来评价，这下全了，刚买的X9，现在又买的plus，拍照功能很齐全，拍照很清晰，验证了广告词&ldquo;照亮你的美&rdquo;最爱是截图功能，可以连续截图，趣味截图，程序也很快，指纹解锁敏捷，超级喜欢，晒晒截图功能，拍照功能照片，给儿子拍的，拍的不好，请大家见谅，哈哈！！,相机功能多/强
特意使用两天才来评价，手机不错！速度挺快，照象功能炒鸡强大，耗电量也还行，都是可以接受范围，唯一不满意就是没有短信过滤功能，如果和小米一样可以过滤那些广告短信打扰短信就很好了！下面图片都是用手机拍摄的,相机功能多/强
特意用了好几天来评价的，不错，很喜欢。像素自拍拍近照模糊。适中就很清楚。手机很大，女孩都会喜欢。我就很喜欢。,拍照模糊/不清晰
挺好，挺流畅，拍照功能很强大。,相机功能多/强
挺好的，精致型的，自拍效果很好，美颜的效果很棒，送的礼品也很实用，最喜欢移动电源了，很小巧,美颜效果好
挺好的，就是用淘宝老是闪退，不懂怎么回事，拍照功能也很强大，送的礼品也很满意。这款手机宣传活动的力度都很牛！,相机功能多/强
挺好的 一般吧。 拍照功能很好，不愧是2000万像素+柔光自拍哦！ 挺快的 挺满意的,相机功能多/强
挺好的，用着挺顺手，还挺大的，特别是美颜效果，很喜欢，晚上拍照特别好,美颜效果好
挺好的一款手机，像素高，美颜效果不错，物有所超，还有赠品啊，喜欢的赶紧下手吧！,美颜效果好
好评，手机收到用了一段时间了，挺喜欢的，特别喜欢它的大屏幕，拍照美颜效果一级棒，哈哈，还送了一大堆东西来，惊喜到我了,美颜效果好
外表颜值爆表，特别适合女孩子使用，照相功能强大，特别还是男神代言，更加爱得不得了。系统使用流畅，这个色也特别流行。使用一段时间再追加,相机功能多/强
还可以吧，外观和OPPO R9s太相似了！这款手机还是适合女人用，自拍功能确实赞！,相机功能多/强
外观设计还不错，正面上方多加了几个孔，但也不影响美观，2.5D弧面玻璃看起来更美，在相机的功能中，除了2000+1600万像素的摄像头组合，还有一个Photo+功能，这功能还挺不错的，可以记录按下快门前后2、3秒的声音和视频，在相册中长按可以看。,相机功能多/强
外观时尚，屏幕比较清晰细腻，特别喜欢有情趣的屏保，很舒心惬意，手机使用起来很顺手比较方便，确实拍照功能强大，不错。店家人也不错，尽管赠品有点小插曲，也算圆满解决。,相机功能多/强
外观时尚，拍照很棒优点：颜值高，外观时尚，窄边框看起来非常棒，用着蛮好用的。拍照很棒，感觉像素没的说，晚上用着也不错，极致美颜很贴心，效果自然漂亮。到手下了几个小游戏，不卡，不过要是玩大点的游戏就差一点。手感超好，运行流畅，这个系统用着还可以，电池很大，而且充电挺方便，关键颜值很满意，很合心意。...缺点：玩游戏偶尔会卡下屏，配置不太适合游戏控...总结：外观超薄时尚，配置给力，手机屏幕大小刚好，反正我用着比较顺手...,美颜效果好
手机收到了，手感不错，外形美观，反应敏捷，很喜欢呢，拍照功能强大，全五星,相机功能多/强
外形漂亮，照相功能强大，指纹解锁方便，最喜欢这款手机的双摄虚化和看视频聊天两不误这两个功能！赞赞的！还有京东物流超给力，头天买的，第二天就到了！,相机功能多/强
玩着感觉挺不错的，摄像功能很强大，就是大黑边我不太喜欢,相机功能多/强
晚上买的，下午就到了！快递很快，手机用了几天，功能都很喜欢，分屏功能喜欢！特别是拍照功能，很喜欢！反正很喜欢vivoX9，以后会继续支持vivo产品！！！,相机功能多/强
手机不错，晚上拍的 第二天早上就收到了，顺丰真的很快，配件齐全，都不用花其他钱了。手机外观好看，拍照功能强大，很喜欢，比其他牌子都好用，推荐跟很多朋友了,相机功能多/强
手机不错，晚上拍的 第二天早上就收到了，顺丰真的很快，配件齐全，都不用花其他钱了。手机外观好看，拍照功能强大，很喜欢，比其他牌子都好用，推荐跟很多朋友了 客服星星的服务也很好，很赞。好评,相机功能多/强
晚上拍的图片，很差劲，大家凑合着看吧！vivo X9最新2000万前置摄像头，照亮你的美！大品牌用着就是不错，身边人评价也很好！吆西！！,夜拍拍摄效果差
为什么照片照出来点也不清？,拍照模糊/不清晰
我很满意！哈哈，首先外观特别漂亮的，顺丰送的速度也非常的快，适合女生，之前一直在比较OPPO&apos;&apos;R9和vivo x9，最终选择了vivo，没有让我失望，拍照功能也非常棒，总结就两个字&ldquo;完美&rdquo;,相机功能多/强
到货很快的，我试用了几天才来评价，这个前置2000万柔光自拍真是无敌了，美颜但又特别清晰，看得清每根眉毛，我一直是vivo忠粉，从步步高用起的，习惯了也就不愿意换别的牌子了,美颜效果好
我买手机的要求就是相素合我意&apos;内存足够，这样我就很满足了，?买这个手机就是冲着它的拍照功能的，内存也足够用，手机已经用了一段时间了，挺不错的，拍照功能岗岗的，我喜欢?,相机功能多/强
我是第一次买国产的智能手机，也不知道怎么评论，不过大小是苹果6S的大小，手感份量也很足，手机反应也快，屏幕色彩鲜亮，拍照功能很喜欢，还好没选9S的，这个已经够大了。赠品真是拿到手软，这三个是我喜欢的赠品，还有很多零碎实用的赠品，光手机壳都三个了。查过官网也是正品，先好评吧！后期有啥问题再追评吧！,相机功能多/强
我是来毁vivo的，哈哈，人长得丑别介意。其实首先值得表扬的是送货的速度上午10下单，下午5点半就到货，这速度很不错。第二手机上手感觉非常不错的，拍照功能非常强大，说实话放音乐的效果不如以前翻盖的时候好，如果能做到以前翻盖时候的音质那就完美了。总体还是相当不错，望继续努力。,相机功能多/强
我一次买了两个手机！性价比很高！超爱！大家都放心购买吧！好多功能还在研究！一直都用vivo的手机！美颜效果真的棒棒哒！?,美颜效果好
我一直很信任京东商城，结果京东也没让我失望，手机是正品，非常不错，拍照功能很强大，昨天买的，第二天就到了，很给力。,相机功能多/强
手机很好看，握在手里的感觉也不错，系统反应迅速。界面也很给力，相机自拍美颜效果很好啊！！,美颜效果好
非常不错，无论是背景虚化 自拍美颜都令人惊讶?补光灯不是很刺眼，手机是原装正品 没有拆封。快递两天就到了 拿快递的时候有点小激动\(≧▽≦)/。 赠品还是很不错的 。,美颜效果好
物流到成都过年时间用了5天还好没耽误事，就还是可以的，手机不卡用了就好就发现声音特别大，有时候自带的输入法点不出来。就下载了一个输入法，照相功能很好。还是很不错的,相机功能多/强
物流速度特快上午11下单下午5到货，快递小哥态度也非常好，机子也非常不错使用三天了，照相功能非常强大，唯一就是觉得送的东西有点少，要能多送个手机支架，自拍杆之类的就更好了,相机功能多/强
物流真快啊，才一天半就到了收到手机就迫不及待的用了，感觉非常好，音效和双摄功能太强大了，就是拍得太清楚了，脸上有点瑕疵都能看出来?还好有自带的美颜功能,相机功能多/强
手机很漂亮，媳妇很满意，美颜很不错,美颜效果好
喜欢这款手机很久了，一直想买128g的，结果没有抢上，不过现在这一款手机质量也很好，尤其喜欢拍照功能拍起来感觉特别清晰。感觉手机音质也不错，照相功能是特别强大，非常支持国产手机感觉比苹果性价比要高很多。顺丰快递特别快，快递小哥服务态度特别好。很轻，簿款麻的感觉很合适，以后如果有小伙伴想买手机一定要挑手机刚首发的时候买的时候优惠活动更多，我的就得买碎屏保?图片是晚上拍的，家里光线不是特别好，但是效果感觉还是不错的啊！我不会拍照。呵呵?,相机功能多/强
喜欢x9p的拍摄 前镜像素高！女孩最爱了? 喜欢背景虚化功能！ 果断选择京东下单，京东送货快 ！ 手机赠品也挺多的。 客服花生糖 服务好!,相机功能多/强
喜欢大屏幕手机，而这vivo还有分屏功能，还有就要冲美颜相机去的，用了一段时间了，大屏幕不错，但看视频像素一般，美颜相机真的不错把皮肤拍的很好哦！Cpu感觉还好吧,美颜效果好
细致美颜做得非常细致，还有感觉它可以自动锁定眼睛，拍出来的效果就感觉眼睛非常亮，这一点很实用。柔光在夜拍的时候效果非常好。但是整个自拍真的非常自然，比美图手机好用,美颜效果好
下单第二天就收到了，顺丰的速度还是很快啊?手机试用了三天，非常好用，拍照功能强大，只是我还没挖掘出来最大值。最后谢谢店家送的礼物?，非常棒,相机功能多/强
相机功能没想象中好。,相机功能少/弱
整体不错，相机功能挺好的。,相机功能多/强
相机启动速度快，拍照很清晰，自带的美颜很好用，系统运行流畅不卡，指纹解锁和双引擎闪充特别快，手机音质不错，赠送的小礼物，特别实用，很开心的一次购物，客服丹丹的服务态度很好，很耐心。,美颜效果好
相照相功能很强大哦，非常棒，拍出来的照片十分清晰，还有柔光，肤色很好哦?。我的照片都是在阴天拍的，这段时间都在下雨，能有这么好的效果真的很不错，满分！,相机功能多/强
像素很好，自拍功能强大,相机功能多/强
像素特别高，尤其是前置摄像头拍照特别美，美颜效果特别强大。玫瑰金粉粉的很适合女孩子，物流也超级快！到目前来说都挺满意的。,美颜效果好
收到了收到了，谢谢老板的礼物。很喜欢拍照功能，运行速度也很快，大爱,相机功能多/强
新机反应很快，美颜吊炸天，屏幕有点偏黄，什么主题字体都要付费，没有srs音效，重低音完全没有，换别的耳机听稍微好一点点，配的原装耳机简直就是垃圾中的战逗机，怀疑是被调包了，声音放一半漏音都很严重，有点小失望,美颜效果好
新机到手很喜欢优点：手机外观很棒，很薄很漂亮，拿在手里也很舒服，不会显得很大很笨。5.88寸的屏幕足够大，看视频上网什么的会很方便。金属流线机身，手机的手感很佳。手机的运存大，玩的时候速度很快，尽管程序运行的多，可是并不影响机子的整体运行，开的后台程序多也不会反应很慢，也不会发热的很厉害。手机的摄像头效果清晰，美颜非常好，背景虚化感觉也还不错。...缺点：各方面还不错，当然价格再便宜点更好...总结：系统稳定，运行流畅，电池很够用，充电速度非常快，续航还可以。拍照优化的非常棒，更加清晰自然，对焦快，美颜也很不错...,美颜效果好
新机功能还好，音质不错，照相功能强大，唯一遗憾的是CPU不够给力。,相机功能多/强
新品就是不一样，拍照功能很强大,相机功能多/强
这款手机新颖时尚，性能不错。运行内存比较大，玩个游戏一点也不卡，自拍照片美颜相机非常常漂亮。我感觉这个性能的价位，这个手机相当合适。非常适合自己,美颜效果好
信号强度：刚开始最纠结的就是怕不是正品，结果我的担心是多余的。这款手机 的自拍功能真是太强大了，让不喜欢自拍的我也爱上了自拍。反应也快，不卡。支持国产。,相机功能多/强
信号强度：期待已久的手机，金色很好看，还送了两个手机壳和一个钢化膜，还有一大堆赠品，比实体店买划算多了，手机很流畅，特别是拍照功能很强大，总体不错，很喜欢。。,相机功能多/强
非常喜欢这款星空灰的，第一眼看上就决定买了。而且详细了解了手机性能后直接下了单，尤其是拍照功能很强大。非常好,相机功能多/强
续航能力：很好，充电很快，用电很慢。音质：很不错，蓝牙耳机不错。充电速度：很快。操作流畅性：挺快的。拍照效果：美颜相机用起来杠杠的。,美颜效果好
一般般 照相功能并没有我想象的强大,相机功能少/弱
手机不错拍照清晰一点也不模糊，美颜功能很好，待机电量也可以，就是qq空间放视屏音量会自动变小不知道是怎么回事。,美颜效果好
挺漂亮的一款手机，这样的价位很可以接受，不过像素很不错，强大的美颜功能，手机充电速度很快，反应速度很快，值得思考的一款手机。,美颜效果好
指纹解锁有点问题，后置摄像头不是很清晰,拍照模糊/不清晰
最失望的是拍照功能，X7那么火爆，居然没有沿用X7强大的拍照功能，设计师NAOCAN么？ 使用第二天居然出现了触屏失灵，卡死现象，然后之后的每天一开机就提示什么什么停止运行，一提醒就一二十遍的提醒，烦！,相机功能少/弱
做工很精致，系统也很流畅，最重要的是美颜真的很牛逼。,美颜效果好
收到手机使用了两天后，才来评价，说一下真实感受，第一：手机到货挺快的，收到后完好无损，主要是赠送的蓝牙音箱特别好，就算在外面单买也不能便宜了，第二：打开手机后，屏幕特别清楚，看电视色彩很鲜艳，手机充电确实快，特意试了一下照相功能，真是美颜神器，总的来说，这个价格还是很满意的，性价比可以。,美颜效果好
"【01-07 #vivo前置双摄X9#】这是一个沉迷于自拍的姑娘 [我不能否认vivox9自带的相机自拍功能不好,但那是对于脸小的姑娘来说是这么回事.于是,我下载faceu.snow.美颜相机.那么问题来了!!!!这几个软件在这部手机上怎么不能瘦脸了???之前的vivox5pro明明就可以.我真的一脸无奈.]",相机功能少/弱
【01-03 #vivo前置双摄X9#】vivo×7相机功能太垃圾了 [谁知道从哪里下载魅蓝note2的官方相机？？本人平常办公用，又不舍得花钱买好手机，可是×7的也太垃圾了吧，照片不直接显示时间，这个还好说，关键是图片编辑里也不能加文字，也不能涂颜色。有时候给人发资料，有用没用的一次全过去了。],相机功能少/弱
【01-26 #vivo照亮2017#】 [x9为什么前置拍照还不如后置清晰，而且玩王者荣耀开特效都没效果],拍照模糊/不清晰
【01-19 #vivo前置双摄X9#】刚买了一个月的X9，自拍功能不行了求问 [刚买了一个月，最近感觉天天更新系统，我也就更新了，昨天就发现自拍美颜功能不怎么样了，今天试了一下还不行，跟普通拍照功能差不多了……求问大神，怎么回事？？谢谢解答],相机功能少/弱
【01-30 #vivo照亮2017#】 [vivo x9的摄像头很模糊该怎么办？],拍照模糊/不清晰
比想象中薄，拍照功能没想象中好。,相机功能少/弱
超薄速度快，比小米好用多了，就是拍照功能没预想中好,相机功能少/弱
触屏挺迟钝的，不是很灵敏。拍照功能其实也没有介绍的那么强大，没有双镜头，拍照始终不真实。,相机功能少/弱
宝贝收到了，质量很好，跟图片一样，拍照美颜效果很好，查了一下是正品，好评五分。,美颜效果好
拍照功能强大 其他一般般,相机功能少/弱
手机很薄，好看，纠结5.5寸和6寸，最后选了5.5，很不错，大小正好，系统很容易上手，流畅，指纹解锁灵敏，充电功能确实强大，很快充满了，充满能用很久，希望电池耐用，拍照功能没有想象中清晰，不过性价比还是不错的，值得推荐,相机功能少/弱
外出办事，电量不足关机，让我差点把事情没办成，下午直接下单买个能闪充的。入手半天不到，说一下初体验，机型不错，指纹识别速度很快，机子本身很快、非常快，比我之前的P7快300%以上，满足了我的要求。但照相功能没到看到像网友说的那么棒，一般化。总评价：值这个价，因为我追求的就是速度要快，充电要快。,相机功能少/弱
"第一次用vivo,买之前vivo还是oppo纠结半天，还是选了vivo,刚拿到的时候对主打的照相功能是不怎么满意的，其他都ok，使用流畅。后来发现光线好的情况下自拍还是挺好看的。送的蓝牙音响很喜欢！总体ok！值得购买！！",相机功能少/弱
感觉使用中总是遇到各种小问题！应该是我这部手机有问题，大部分手机是没问题的吧！等以后有时间再看要不要去售后吧！还有就是拍照功能一般吧,相机功能少/弱
好用到沒朋友，買了半年的美圖手機都閒置了，無意中看見電視台到處打廣告，跑去店裡體驗了一下，考慮自己已經有台蘋果6s和一台美圖手機了當時沒買，回來幾天天天想著這台手機吖，果斷就在京東來拔草了，早上下單下午就收到了，玩了一兩天真能用兩個字形容，完美，手機一點也不卡，照相功能好強大，美圖照相功能好是好但是卡到不要不要的，蘋果手機照相功能差到沒朋友，喜歡自拍的MM帥哥這款手機是不錯的選擇呢！下面曬曬自拍的幾張相片，覺得拍的還可以的給我點個讚吧！哈哈哈！讚讚讚讚讚讚讚讚讚讚噠。,相机功能少/弱
快递很快，搜搜的就到了，手机速度很快，运行内存是6G的，手感很不错，美颜功能很不强大，送了很多礼品，双引擎 充电速度超快，电量顶用，播放歌曲音质不错。,相机功能少/弱
更新了系统， 照片，壁纸啥都没了，是什么情况？,照片丢失
怎么刚刚更新后的系统拍照这么模糊啊 系统更新拍照模糊,拍照模糊/不清晰
x9最新版本声音好小， vivox9版本1.18.7声音变的好小，还有就是不知道是不是错觉感觉相机没以前清晰了,拍照模糊/不清晰
手机里照片消失 隔一段时间手机里的照片就自动消失有的是微信里保存的图片有的是贴吧里保存的图片每次消失都是某个整体消失比如QQ里保存的图片全部消失其他都在再隔一段时间又有一个模块的消失我没有清理过图片也没有清理过相册内存这是怎么回事？求解！好多图片都好珍贵啊,照片丢失
相册不能云备份，好多都丢失了,照片丢失
没法建立相册，还有相机一开始怎么照都很清楚，现在却很模糊，有一段时间没法对焦，不是光线原因,拍照模糊/不清晰
用snow拍的照片不在了,照片丢失
您好，为什么相册的照片删不掉，删好几次的时候手机相册什么照片都没了，而且还不能返回，就是死机了，要重新关机，开机，手机买没几个月，是不是你们手机质量不好，请尽快给我一个答复。,照片丢失
微信里面的视频拍照没有了！,照片丢失
看不到照片,照片丢失
拍照不清晰,拍照模糊/不清晰
近距离拍照模糊,拍照模糊/不清晰
相机不清楚,拍照模糊/不清晰
拍照摸糊不清,拍照模糊/不清晰
前置拍照美颜不能瘦脸，没有多的滤镜可选择，后置拍照希望有背景虚化功能！,相机功能少/弱
拍照不清楚，望优化,拍照模糊/不清晰
系统升级照片不见了怎么办？??,照片丢失
照相是模糊的。,拍照模糊/不清晰
相片无故消失,照片丢失
我的照片为什么没有了？,照片丢失
照片全没了,照片丢失
像素太低，照的模糊没有防抖功能。,相机功能少/弱
手机里面的照片不见,照片丢失
相册里面的照片和视频都找不到了,照片丢失
拍照模糊，不清晰，像素好暗,拍照模糊/不清晰
相片不清晰,拍照模糊/不清晰
保存的很多照片突然没了,照片丢失
不能直接在照片上看见拍照时间，应当像相机那样在右下角显示。,相机功能少/弱
我之前从邮箱里，下载了上百张的照片都相册里，但是过几天相册里已经没有这些照片了，我自己没有删除过，这个情况出现过两次，第一次及时发现，我重新下载了，这一次间隔太久了，邮件过期了。,照片丢失
拍照看不清楚,拍照模糊/不清晰
[求助] iphone7p 金色 拍照模糊 [复制链接] 后摄像头拍照好模糊 求有经验的大神给解决解决,拍照模糊/不清晰
[申诉] 华为手机质量太差 华为p8高配，我15年十月一买的3280元，到16年12月20日后摄像头拍照模糊不清楚了，大家说这样的质量是不是很差很差……,拍照模糊/不清晰
[申诉] 为什么这次更新系统后图库照片没有了 我就想知道为什么这次更新系统后自己图库里的照片没有了！,照片丢失
[我耀讨论] 清理手机内存后微信保存照片消失 有次清理手机内存，清理后发现微信相册里从微信保存的照片不见了。请问这是怎么回事，有找回可能么？,照片丢失
"[问题反馈] p9p升级353后前置摄像头仍然模糊 升级353前就模糊，之后还是模糊， %2Fstorage%2Femulated%2F0%2FDCIM%2FCamera%2FIMG_20170105_131415.jpg (30.34 KB, 下载次数: 0) 下载附件 保存到相册 2017-1-5 13:16:39 上传 怎么回事",拍照模糊/不清晰
[求助] iPhone6后摄像头拍照模糊 [复制链接] 已经对焦了，就是模糊不清，求大神指教什么问题，谢谢了,拍照模糊/不清晰
【12-06 花粉漫谈】nove相机好差 [1200万 比苹果6s差多了\t很模糊 醉了 后悔买这款，还花了2500],拍照模糊/不清晰
[建议] 华为P9 Plus， 前摄像头拍照画质模糊； 屏幕摔裂了，后面前置摄像头就模糊了，还有谁的是这样啊，外面换了个屏，就没的保修了；烦躁,拍照模糊/不清晰
拍照问题 [发现拍照的时候 焦距拉到最远 拍照就非常模糊 跟数码相机根本没得比啊 800万的数码相机拉到最远还很清晰。],拍照模糊/不清晰
